cik_no,crd_no,name
1583728,167139,Altalis Capital Management
1578258,164338,Billings Capital Management
,160989,Cedar Cove Capital
1301396,115167,Context Capital Management
1546283,146382,Glovista Investments
1589248,166367,Green Owl Capital Management
,137825,Greylock Capital Management
,159798,Haidar Capital Management
1567195,162607,Incline Global Management
,160413,Karya Capital Management
,151170,Noctua Partners
,,SSE Capital
1580144,165958,Pleasant Lake Partners
1511306,156040,Polygon Global Partners LLP
,134556,Prophecy Asset Management
,167578,QuantZ Capital Management
1510099,134471,SG Capital Management
1389234,129678,Symmetry Peak Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
1623458,,Takumi Capital Management
,169163,TCA Fund Management
1624095,159696,Tenzing Global
,106297,Semper Capital Management
1599573,164090,Wing Lake Capital
,283223,Hilltop Fund Management
,,Ayaltis
1623781,138401,Morgan Creek Capital Management
1065886,162070,Sunrise Capital Partners
,,Taylor Woods Capital
,162203,Cygnus Asset Management
1415453,161296,Brevan Howard Asset Management
1315421,160925,Graham Capital Management
,,SECOR Asset Management
,,Doherty Advisors
,154787,Archview Investment Group LP
,162004,Gavea Investimentos
846633,104862,Strategic Investment Management LLC
1909739,160089,400 Capital Management LLC
1757885,285099,"Atlas Principals, LLC"
,,Michaelson Capital Partners
1635663,173141,Steamboat Capital Partners
1694620,168302,"Copernicus Capital Management, LLC"
,,"Cardo Capital Management, LLC"
,167048,Jadwin Partners
1697398,167481,"Hunting Hill Global Capital, LLC"
,138733,Beach Horizon LLP
,,Drury Capital
,,Elara Capital PLC
,,"Hyman Beck & Company, Inc."
,,Iron Bay Capital
1040762,138175,"Maltese Capital Management, LLC"
,282543,Fasanara Capital Limited
,,Northlander Commodity Advisors LLP
1655028,140370,"Deer Park Road Management Company, LP"
,,Munoth Capital Management
1363391,107038,JPMorgan Asset Management
1058470,108268,ICON Advisers Inc
52388,105778,American Century Investment Management Inc.
1302797,111266,Boston Trust Investment Management Inc.
1432083,147423,Eulav Asset Management
1233991,108257,"Columbia Management Investment Advisers, LLC"
,108617,Fidelity Investments (FMR)
812295,104652,Janus Capital Management LLC
1229262,107738,Goldman Sachs Asset Management LP
1145263,106546,TCW Investment Management Co
,110391,Lord Abbett
1086433,105138,Federated Investment Management Company
1086364,106614,BlackRock Advisors LLC
1548866,159030,USAA Asset Management Company
1163368,104559,Pacific Investment Management Co LLC (PIMCO)
81273,106629,"Putnam Investment Management, LLC"
898420,104517,Franklin Advisers Inc.
,,Henderson Global Investors
1011607,105642,Dreyfus Corporation
1230193,110353,Morgan Stanley Investment Management Inc.
1644465,108165,"Glenmede Investment Management, LP"
1129919,109585,ProFund Advisors LLC
1644956,173961,William Blair Investment Management
898358,274070,Kornitzer Capital Management Inc
1056508,109355,Federated MDTA LLC
1386060,124982,"Robeco Investment Management, Inc"
1327354,110841,Wells Fargo Funds Management LLC
1006249,105247,BlackRock Fund Advisors (iShares)
1466153,150114,Artisan Partners Limited Partnership
1167557,111883,AQR Capital Management LLC
820330,110619,"ClearBridge, LLC"
814133,106081,Wasatch Advisors Inc
813917,106960,Harris Associates LP
1207017,122836,Lazard Asset Management LLC
,141037,Kayne Anderson Fund Advisors
1077479,111091,"Voya Investments, LLC"
,152606,Doubleline Capital LP
907692,105146,SEI Investments Management Corp
,,Vanguard
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
1521019,155584,Nuveen Asset Management
,8158,Baird Advisors
939222,107157,Teachers Advisors Inc
939222,107157,Teachers Advisors Inc
939222,107157,Teachers Advisors Inc
939222,107157,Teachers Advisors Inc
939222,107157,Teachers Advisors Inc
1425852,137432,Guggenheim Partners Investment Mgmt LLC
80255,105496,T. Rowe Price Associates Inc.
1475148,151829,PNC Capital Advisors LLC
312348,105377,Loomis Sayles & Company LP
1048802,109580,Osterweis Capital Management LLC
,109528,MainStay Investments
919627,105641,Principal Management Corp
1038001,105670,Prudential Investments LLC
20430,105360,"Invesco Advisers, Inc."
912938,110045,Massachusetts Financial Services Co (MFS)
1179124,104518,Deutsche Inv Mgmt Americas Inc
1190088,123381,Ivy Investment Management Co
1102598,107719,Pioneer Investment Mgmt Inc
,110885,American Funds (Capital Research)
354204,106482,Dimensional Fund Advisors LP
1109448,108477,AllianceBernstein LP
1432354,146932,Global X Management Company LLC
1364742,,BlackRock Inc.
1257442,111242,"SSGA Funds Management, Inc (State Street)"
1125816,107027,First Trust Advisors LP
1224696,125601,Invesco PowerShares Capital Management
,166762,"Reality Shares Advisors, LLC"
,,Advis Investimentos
,291735,Apex Capital Ltda
,,Atmos Capital
,,Bogari Capital
,,BRAX JGP
,,Bresser Asset Management
,,BRZ Investimentos
,,Claritas
,,Maua Investimentos Ltda
,,Equitas
,,Ibiuna Investimentos
,,Kadima Gestao de Investimentos Ltda
,,Kondor
,,Kyros Investimentos
,,Leblon Equities
,,Oceana Investimentos
,,Pacifico Gestao de Recursos Ltda
,,Perin Investimentos
,,Skopos
,,STK Capital
,,Studio Investimentos
,167876,Victoire Investimentos
,,Brasil Capital
,,All Weather Capital Ltd
,,27four Investment Managers
,,ALPS 
,106054,Matthews Asia
,104859,Eaton Vance
1336528,132982,Pershing Square Capital Management LP
,168745,Alternative Capital Advisers LLC
1029160,,Soros Fund Management LLC
1350694,105129,Bridgewater Associates LP
1035674,127831,Paulson & Co Inc
1465109,111691,Neuberger Berman Group LLC
1037389,106661,Renaissance Technologies LLC
1274173,,JANUS HENDERSON GROUP PLC
1079114,157083,Greenlight Capital Inc
1423053,110540,Citadel Advisors LLC
1179392,137137,Two Sigma Investments LP
1450144,148960,Two Sigma Securities LLC
1478735,152254,Two Sigma Advisers LP
1167483,160318,Tiger Global Management LLC
934639,108262,Maverick Capital LTD
1484836,157359,Centerbridge Partners LP
1067983,,Berkshire Hathaway Inc
1380393,152385,Fortress Investment Group LLC
949509,106793,Oaktree Capital Management LP
909661,107322,Farallon Capital Management LLC
1048445,156601,Elliott Management Corp
860662,131940,Angelo Gordon & Co LP
1061768,109530,Baupost Group LLC
1363542,289587,Bluecrest Capital Management LLP
1610880,148823,Bluecrest Capital Management LTD
1009207,108679,D E Shaw & Co Inc
1593191,159603,Secor Capital Advisors LP
1512857,161292,Brevan Howard Capital Management LP
,174159,Willowbridge Associates Inc.
1456098,130566,Winton Capital Management Ltd.
,,Prime Meridian Capital Management
1697323,164192,"Greenline Partners, LLC"
1277050,155798,Hoplite Capital Management LP
1510387,149335,Gotham Asset Management LLC
1542302,148267,Lyrical Asset Management LP
,164179,Infinity Q Capital Management LLC
1675696,136979,Blackstone Alternative Investment Advisors LLC
,,BlackRock Asset Management 
1304144,108204,Deutsche Bank Investment Managers Inc
,,UBP
1382607,135805,"Titan Advisors, LLC"
1673704,,Katonah Capital Partners LLC
1673704,,Katonah Capital Partners LLC
1673704,,Katonah Capital Partners LLC
1673704,,Katonah Capital Partners LLC
1673704,,Katonah Capital Partners LLC
1673704,,Katonah Capital Partners LLC
,,Conatus Capital
1389507,161263,Discovery Capital Management LLC
,,Glenhill Capital
1138995,137640,Glenview Capital Management LLC
1658363,173887,Maple Rock Capital Partners Inc.
1361936,136684,Seminole Management Co Inc
1566887,160440,Ratan Capital Management LP
,,Gorelick Brothers Capital
,171109,Brightlight Capital
,155587,Field Street Capital Management LLC
,131924,Forum Asset Management LLC
1362495,137519,Gso Capital Partners LP
,143956,Vertical Capital LLC
,171172,Vector Capital
1310929,111042,Willis Investment Counsel
,160379,AKO Capital LLP
,160123,Altum Capital Management LLC
935015,,Artisan Partners Funds Inc
,283673,Blue Elephant Capital Management LLC
1425999,138541,Brenner West Capital Advisors LLC
,173600,BTA Investment Advisors LLC
,157517,Chatham Asset Management LLC
1452929,157701,Conatus Capital Management LP
,282586,Duet Group Â– Frontier Investment Management Partners Ltd.
1534551,157369,Glenhill Capital Advisors LLC
1424381,156429,Lakewood Capital Management LP
,,Mara Investment Group
,138260,Morris Associates LLC
1598015,,Naya Management LLP
1568788,160535,Palestra Capital Management LLC
1425851,156873,Pentwater Capital Management LP
1263567,126925,Perkins Investment Management LLC
1040273,137927,Third Point LLC
795264,129609,Thompson IM Funds Inc.
,159732,TPG Public Equity Partners LLC
923093,159792,Tudor Investment Corporation
102909,105958,Vanguard Group Inc.
1599171,169834,Vernier Capital Partners LP
1103804,132272,Viking Global Investors LP
,285457,White Square Capital LLP
1257391,121995,Whitebox Advisors LLC
,158312,DSC Quantitative Group
,287958,Efficient Capital Management LLC
1574886,138757,Teewinot Capital Advisers LLC
71259,110349,Rothschild Asset Management Inc
1061186,104702,WCM Investment Management
1096978,124744,Mariner Investment Group LLC
,158493,Alloy Capital GP LLC
,151578,MidOcean Credit Partners
1666624,106452,"Charter Research & Investment Group, Inc."
1633863,106595,Wellington Management Company LLP
1092580,108252,Fidelity Investments Money Management Inc.
1256909,105780,Northern Trust Investments Inc.
946754,105676,PGIM Inc.
1086363,107105,BlackRock Financial Management Inc.
65106,7691,Merrill Lynch Pierce Fenner & Smith Inc.
1457496,149777,Morgan Stanley Smith Barney LLC
1492070,150088,AIG Asset Management US LLC
1132716,108754,UBS Oconnor LLC
937617,155680,Davidson Kempner Capital Management LLC
1011443,115079,HBK Investments LP
919165,156459,Chesapeake Partners Management Co. Inc.
860585,,RBS Partners LP
1140474,137834,Sandell Asset Management Corp.
1352851,136045,Magnetar Financial LLC
1056527,630,CIBC World Markets Corp.
886982,361,Goldman Sachs Group Inc.
1484219,19714,Barclays Capital Inc.
928047,,"Manufacturers Life Insurance Company, The"
872732,,First Midwest Bank Trust Division
1056491,156651,Fir Tree Inc.
1049648,108622,Salem Capital Management Inc.
924181,107890,Leavell Investment Management Inc.
50863,,Intel Corp
923469,108135,Cadinha & Co LLC
1047644,107969,Relational Investors LLC
1307498,137442,Stark Offshore Management LLC
1288136,133720,Pine River Capital Management LP
1453072,155058,Alyeska Investment Group LP
1015086,106928,Bradley Foster & Sargent Inc
866842,130913,Dalton Greiner Hartman Maher & Co
40545,,General Electric Co
900973,106940,Winslow Capital Management LLC
900973,106940,Winslow Capital Management LLC
900973,106940,Winslow Capital Management LLC
900973,106940,Winslow Capital Management LLC
